"","Age","ARA","BFC","BRE","CVL","COR","GES","HDF","IDF","NAQ","NOR","OCC","PAC","PDL","GUA","MAR","GUY","REU","MAY"
"1","0-9y",936501,288163,352577,281347,34570,592135,720958,1589856,594624,362868,623843,550692,432663,39834,33332,63161,121070,87847
"2","10-17y",818919,271052,338548,257058,29809,532294,641726,1259808,560613,333858,566126,471000,405303,40289,33619,47694,108041,58398
"3","18-29y",1101548,344504,421508,309070,39252,752341,854597,1975562,738672,425495,785752,621688,502256,43780,39128,50808,120798,46983
"4","30-39y",1009020,311073,376651,291598,43969,673911,744924,1762912,678121,382905,694310,599881,453819,36681,34653,41089,105105,38955
"5","40-44y",504507,160602,200827,148277,22220,329694,365636,832004,358740,192199,357931,304763,236552,19722,17098,18472,54584,16104
"6","45-49y",534775,179040,223996,168824,23871,359992,392139,835542,397951,211895,384935,325935,255126,27172,23846,16710,58072,12960
"7","50-54y",532550,186042,223957,171770,24513,373033,381783,786650,402861,215118,395510,339687,245455,29285,29537,14514,63160,8424
"8","55-59y",517877,188009,223788,169500,23211,381640,380829,751011,406377,219345,397864,342907,242899,31028,32170,12509,62259,6827
"9","60-64y",476374,186671,224719,166384,22520,362895,360761,639363,405810,216776,383175,323063,235776,28042,29101,10158,49440,4746
"10","65-69y",447287,181451,216087,161352,22631,340536,339269,539362,403182,211128,374228,309944,228215,24315,24299,7414,41081,3248
"11","70-74y",433104,178094,210511,157628,21638,306784,314209,498782,392328,198610,366343,308198,219292,19837,19774,5041,29051,1833
"12","75-79y",283152,108219,119349,95192,15891,179050,165539,316492,242587,114750,236809,221394,126978,14328,14364,2965,19850,1295
"13","80y+",496984,203285,238779,184431,25178,340512,315092,539085,457901,221145,418925,370509,253726,21544,24173,3536,25939,1306
