age;IHR;IHR_lower;IHR_upper;IFR;IFR_lower;IFR_upper;PICU
[0-10);0,00283;0,00158;0,00699;0,00002;0,00001;0,00006;0,230590962
[10-18);0,00113;0,00081;0,00174;0,00001;0,00001;0,00001;0,230590962
[18-30);0,004728654;0,003083429;0,00739559;8,49E-05;5,54E-05;0,000132805;0,132573796
[30,40);0,006811385;0,005534759;0,008441438;0,000181879;0,000147791;0,000225406;0,168153555
[40,45);0,009128889;0,00715345;0,011780494;0,000367221;0,000287757;0,000473885;0,220438528
[45,50);0,014211495;0,010945417;0,018646941;0,000635186;0,000489208;0,00083343;0,239857456
[50,55);0,032802187;0,023569843;0,046096693;0,002438662;0,001752288;0,003427036;0,280167264
[55,60);0,046111315;0,03151247;0,068271825;0,004175192;0,002853326;0,006181736;0,287616298
[60,65);0,06342089;0,044343172;0,091618048;0,007902902;0,00552562;0,011416561;0,306730116
[65,70);0,07547005;0,052372707;0,109824323;0,013365332;0,009274919;0,019449285;0,317048216
[70,75);0,139908032;0,097572555;0,201935004;0,030600188;0,021340723;0,044166508;0,286907772
[75,80);0,209508944;0,119842233;0,371526329;0,060273508;0,034477344;0,106884197;0,219397247
[80,);0,3;0,1;0,99;0,11;0,036;0,35;0,057963728
